distance_km,people,days,transport_type,ranking_mode,user_budget,price,duration_hours,comfort_rating,transport_score
917.7,3,4,car,fastest,21949.01,6056.56,15.8,4.5,46.14
2283.2,4,3,intercity_bus,comfort,54230.99,13242.52,46.2,4.1,63.81
1764.8,2,6,flight,balanced,17316.27,15530.47,6.5,4.7,63.83
1448.8,3,4,intercity_bus,balanced,9198.52,6302.37,29.5,4.1,48.5
399.8,2,3,central_bus,budget,14076.18,759.55,10.5,3.5,73.6
399.7,4,7,train,budget,74748.86,1838.65,6.6,4.3,77.12
167.7,5,4,train,balanced,46381.32,964.03,3.1,4.3,68.13
2082.8,1,2,central_bus,fastest,64725.93,1978.7,52.6,3.5,43.16
1454.6,3,4,intercity_bus,balanced,29949.09,6327.7,29.6,4.1,61.68
1708.1,1,3,central_bus,comfort,49449.4,1622.73,43.2,3.5,61.98
78.8,2,6,train,budget,42121.41,181.21,1.7,4.3,79.86
2328.7,2,6,intercity_bus,budget,75930.35,6753.19,47.1,4.1,76.13
2002.9,2,10,train,balanced,61068.1,4606.64,31.3,4.3,68.56
533.2,2,4,train,fastest,59790.7,1226.46,8.7,4.3,51.05
460.9,3,4,train,fastest,8476.5,1590.19,7.6,4.3,46.07
464.7,2,5,train,comfort,46225.23,1068.74,7.6,4.3,73.09
751.1,3,2,train,budget,40024.36,2591.14,12.1,4.3,78.29
1273.7,2,4,flight,balanced,74588.17,11208.32,5.1,4.7,91.79
1053.7,1,4,train,balanced,24300.65,1211.77,16.7,4.3,68.85
720.2,4,2,central_bus,budget,25237.51,2736.81,18.5,3.5,72.36
1480.1,2,4,train,balanced,35850.97,3404.21,23.3,4.3,68.91
360.6,2,6,taxi,budget,23252.73,2740.56,6.5,4.8,74.28
722.4,3,6,intercity_bus,fastest,14688.79,3142.37,14.9,4.1,42.88
898.3,2,2,train,fastest,69306.11,2066.04,14.3,4.3,49.3
1110.9,1,2,intercity_bus,balanced,46870.74,1610.78,22.7,4.1,71.49
1890.9,2,3,intercity_bus,fastest,69602.2,5483.51,38.3,4.1,45.27
503.2,6,6,central_bus,fastest,67335.11,2868.39,13.1,3.5,44.23
1248.7,3,2,train,comfort,26153.18,4308.14,19.7,4.3,68.43
1434.0,3,5,bike,budget,46080.31,6883.31,26.6,3.8,72.33
140.1,3,2,intercity_bus,budget,11241.33,609.38,3.3,4.1,78.35
1469.9,1,4,train,balanced,73643.89,1690.36,23.1,4.3,69.32
434.1,2,3,flight,budget,35319.7,3820.45,2.7,4.7,91.26
184.2,4,5,intercity_bus,comfort,34525.71,1068.2,4.2,4.1,71.11
2278.9,1,3,taxi,balanced,27706.65,8659.66,38.5,4.8,60.14
2318.5,2,4,intercity_bus,balanced,39549.78,6723.79,46.9,4.1,61.62
1945.9,2,3,flight,budget,23881.95,17123.94,7.1,4.7,63.84
751.9,2,5,train,fastest,33113.92,1729.45,12.1,4.3,49.02
261.5,8,6,taxi,fastest,64996.03,7949.08,4.9,4.8,47.31
1651.6,1,2,flight,fastest,67569.16,7267.18,6.2,4.7,96.26
1073.2,2,6,train,fastest,27813.69,2468.27,17.0,4.3,46.2
319.2,1,4,train,comfort,40176.08,367.12,5.4,4.3,72.13
1203.6,8,2,train,balanced,70536.48,11072.84,19.0,4.3,68.35
111.5,1,4,bike,fastest,8950.5,178.4,2.5,3.8,45.19
2185.1,2,3,train,comfort,71685.87,5025.71,34.1,4.3,74.04
643.3,3,5,intercity_bus,balanced,21438.83,2798.39,13.4,4.1,63.67
1600.2,3,5,train,budget,55890.44,5520.61,25.1,4.3,75.35
768.8,2,2,intercity_bus,budget,48691.38,2229.39,15.9,4.1,76.21
1262.6,2,4,central_bus,comfort,46470.56,2398.87,32.1,3.5,60.46
1325.7,2,6,car,balanced,69452.02,5833.09,22.6,4.5,68.47
468.1,2,7,intercity_bus,fastest,12617.91,1357.5,9.9,4.1,44.32
2327.9,1,4,flight,balanced,31027.1,10242.83,8.2,4.7,86.33
1867.1,2,7,intercity_bus,fastest,45368.96,5414.49,37.8,4.1,46.83
2256.6,2,4,train,comfort,65846.66,5190.21,35.2,4.3,71.36
