distance_km,duration_hours,people,days,transport_type,hotel_category,season,total_cost
967.6,18.3,3,5,bus,budget,spring,24786.14
2379.3,45.4,4,3,flight,budget,monsoon,54224.84
1843.4,25.5,4,7,train,budget,autumn,49782.88
1516.7,28.9,1,5,road_trip,comfort,winter,21225.93
432.2,8.1,1,3,flight,comfort,summer,11226.0
432.2,6.4,2,10,train,luxury,monsoon,91839.72
192.3,3.3,2,4,bus,budget,winter,12146.49
2172.1,31.8,2,2,train,comfort,winter,12719.37
1522.7,32.4,3,5,flight,comfort,summer,63421.39
1784.8,29.9,1,3,train,comfort,summer,10068.74
100.4,2.2,1,6,bus,luxury,spring,45015.04
2426.3,51.8,2,6,train,comfort,autumn,34231.5
2089.5,28.9,3,10,flight,luxury,monsoon,211819.76
570.2,11.6,1,4,train,budget,autumn,8284.52
495.5,8.1,3,4,flight,comfort,monsoon,35260.19
499.3,8.7,2,6,bus,budget,winter,17681.76
795.4,14.4,5,3,flight,budget,summer,36819.75
1335.7,18.6,5,4,flight,budget,summer,58738.2
1108.3,24.3,2,4,flight,budget,winter,20017.38
763.5,11.8,2,2,road_trip,budget,winter,6439.59
1549.0,21.0,2,4,flight,budget,monsoon,22785.5
391.8,6.3,2,7,bus,budget,winter,20772.45
765.8,10.5,3,7,bus,luxury,monsoon,107848.23
947.6,20.3,4,2,train,budget,autumn,13309.63
1167.4,20.3,3,2,train,comfort,summer,17588.21
1973.7,37.4,4,3,train,budget,summer,24873.47
539.2,8.1,2,7,bus,luxury,summer,59944.43
1309.9,17.6,1,3,train,luxury,autumn,20554.56
1501.4,28.5,4,5,flight,comfort,autumn,73824.93
163.8,2.5,2,3,bus,comfort,spring,13801.67
1538.5,30.2,3,5,train,budget,monsoon,31393.57
467.8,7.5,2,4,flight,luxury,monsoon,35688.77
209.4,3.6,1,6,train,luxury,spring,41486.84
2374.8,32.0,10,3,train,luxury,summer,125974.88
2415.8,38.2,1,5,bus,comfort,monsoon,19446.26
2030.6,36.6,10,3,train,budget,monsoon,64427.84
796.3,16.4,8,5,train,luxury,summer,170608.26
289.3,5.8,4,7,road_trip,budget,winter,39802.62
1726.4,33.4,3,3,train,comfort,winter,24813.28
1128.4,21.5,3,7,road_trip,budget,spring,40624.08
349.0,4.9,5,4,road_trip,luxury,autumn,92719.63
1263.2,20.4,2,3,train,budget,monsoon,10764.84
134.3,2.2,2,4,train,budget,monsoon,11772.92
2277.8,47.0,3,3,bus,comfort,spring,29577.51
684.0,9.7,2,5,flight,comfort,spring,28480.5
1673.2,25.1,2,6,train,comfort,monsoon,29617.62
813.7,17.3,2,3,bus,budget,summer,10569.73
1324.2,20.0,3,4,train,budget,summer,22767.26
1389.4,22.7,5,6,road_trip,comfort,autumn,88531.01
502.9,10.6,2,10,train,luxury,monsoon,87354.89
2425.5,41.3,6,4,train,comfort,monsoon,63976.23
1949.1,32.7,3,10,train,comfort,monsoon,87937.76
2351.8,47.1,4,4,road_trip,luxury,monsoon,73262.64
2242.3,30.6,3,4,flight,budget,spring,39802.03
1514.9,21.5,4,6,bus,comfort,winter,60083.32
2308.6,35.5,1,4,train,comfort,monsoon,16817.99
266.8,4.5,4,4,train,budget,winter,22413.74
530.2,9.2,1,4,train,comfort,summer,15772.66
160.8,2.5,5,6,flight,comfort,autumn,85413.93
847.1,13.8,10,6,flight,budget,summer,122464.8
1002.3,21.4,2,4,flight,budget,monsoon,18529.06
714.8,11.8,2,3,train,budget,summer,8900.17
2080.4,30.1,4,4,road_trip,comfort,spring,48270.82
924.0,15.7,2,4,train,budget,winter,13277.97
